Localisation;Service;Fréquence Min (MHz);Fréquence Max (MHz);Preset
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;158.78125;159.51875;Oui
PC1 - PARIS CENTRE 1;Talkback_System;158.78125;159.51875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;159.63125;159.69375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;159.70625;159.71875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;159.75625;160.18125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;160.20625;160.21875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;160.29375;160.30625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;160.33125;160.39375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;160.44375;160.45625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;160.48125;160.49375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.14375;162.15625;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;162.14375;162.15625;Oui
PC1 - PARIS CENTRE 1;Talkback_System;162.14375;162.15625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.16875;162.18125;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;162.16875;162.18125;Oui
PC1 - PARIS CENTRE 1;Talkback_System;162.16875;162.18125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.30625;162.39375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;162.30625;162.39375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;162.30625;162.39375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.41875;162.51875;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;162.41875;162.51875;Oui
PC1 - PARIS CENTRE 1;Talkback_System;162.41875;162.51875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.53125;162.59375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;162.53125;162.59375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;162.53125;162.59375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.64375;162.68125;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;162.64375;162.68125;Oui
PC1 - PARIS CENTRE 1;Talkback_System;162.64375;162.68125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.70625;162.75625;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;162.70625;162.75625;Oui
PC1 - PARIS CENTRE 1;Talkback_System;162.70625;162.75625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.76875;162.78125;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;162.76875;162.78125;Oui
PC1 - PARIS CENTRE 1;Talkback_System;162.76875;162.78125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.83125;162.86875;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;162.83125;162.86875;Oui
PC1 - PARIS CENTRE 1;Talkback_System;162.83125;162.86875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.88125;162.91875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.93125;162.94375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.95625;162.98125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;162.99375;163.05625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;163.06875;163.11875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;163.13125;163.16875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;163.18125;163.21875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;163.23125;163.28125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;163.29375;163.36875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;163.38125;164.11875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;164.13125;164.14375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;164.15625;164.16875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;164.18125;164.29375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;164.30625;164.31875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;164.35625;164.78125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;164.80625;164.81875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;164.89375;164.90625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;164.93125;164.99375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.04375;165.05625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.08125;165.09375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.20625;165.21875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.21875;165.23125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.25625;165.29375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.30625;165.34375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.36875;165.39375;Oui
